Company Name,EPS before 4,EPS before 3,EPS before 2,EPS before 1,PER before 4,PER before 3,PER before 2,PER before 1,ROE before 4,ROE before 3,ROE before 2,ROE before 1,RATING_OF_DEBT before 4,RATING_OF_DEBT before 3,RATING_OF_DEBT before 2,RATING_OF_DEBT before 1,RATING_OF_MARGIN before 4,RATING_OF_MARGIN before 3,RATING_OF_MARGIN before 2,RATING_OF_MARGIN before 1
제이콘텐트리,1591,532,1448,"1,471",23.10,97.50,30.81,26.68,26.28,5.31,7.45,6.10,340.09,180.80,95.09, ,6.68,2.59,5.00,6.29
쇼박스,214,253,70,77,26.36,21.33,43.29,42.23,11.04,11.95,3.11,3.42,56.22,46.32,27.73, ,10.62,15.43,6.35,6.12
스카이라이프,1436,1200,1079,"1,112",12.05,11.21,10.65,7.65,13.32,10.25,8.33,7.84,42.35,36.16,22.49, ,10.36,8.36,7.53,7.59
스튜디오드래곤,569,1050,1278,"1,268", ,61.90,72.30,65.83, ,9.45,9.31,8.49,77.82,24.70,27.68, ,5.27,8.32,9.44,7.48
LG헬로비전,278,373,512,216,33.73,19.04,17.87,23.74,2.24,2.96, ,1.57,90.37,89.25,82.69, ,1.96,2.58,3.37,1.36
YTN,81,108,16, ,30.54,19.39,127.68, ,1.89,2.43,0.37, ,69.52,56.93,52.01, ,2.65,3.46,0.52, 
SBS미디어홀딩스,90,34,81, ,29.66,88.85,25.13, ,1.85,0.70,1.62, ,18.11,14.57,13.62, ,2.63,0.12,3.83, 
현대에이치씨엔,412,386,354,346,10.04,10.24,11.48,11.00,7.37,6.71,5.77, ,9.98,9.84,9.30, ,15.61,15.00,13.78, 
티비씨,26,31,34, ,29.28,21.03,17.00, ,2.62,2.97,3.21, ,8.43,9.63,9.58, ,6.83,7.27,8.33, 
한국경제TV,524,532,627, ,7.90,7.14,6.20, ,15.40,13.77,14.16, ,18.44,26.10,17.95, ,16.00,18.88,17.06, 
CJ ENM,3769,21054,11514,"10,351",43.22,10.97,17.54,14.00,2.56,13.45,8.58,7.94,102.04,88.79,97.19, ,1.47,6.35,5.38,5.10
KNN,72,59,61, ,14.10,14.13,19.99, ,5.28,4.16,4.17, ,9.35,8.33,7.05, ,14.69,12.23,11.43, 
에스엠,169,199,1361,783,153.05,174.42,38.44,40.24,1.19,1.29,7.96,4.13,39.82,83.07,74.00, ,1.21,-1.29,3.82,2.73
KMH,1191,1359,1943, ,4.77,4.77,3.87, ,21.83,20.60,23.70, ,42.22,36.18,54.08, ,22.92,25.94,34.82, 
JYP Ent.,246,471,685,929,20.01,29.21,44.16,24.59,13.43,21.38,22.52,23.07,29.13,45.09,24.52, ,11.58,16.01,19.45,21.81
와이지엔터테인먼트,1094,931,911,-356,25.92,30.99,52.16,-87.32,7.73,5.71,5.07,-1.93,38.95,35.06,32.24, ,4.38,3.40,5.58,-3.20
